TURNOUT,,TOTAL:  107735  302,,108037,66.66
Constituency,51. KALKAJI,TOTAL ELECTORS :,,164319,
1,AVTAR SINGH KALKAJI,M  51 GEN AAAP Broom  54994  110,,55104,51.72
2,HARMEET SINGH KALKA,M  47 GEN BJP Lotus  35202  133,,35335,33.16
3,SUBHASH CHOPRA,M  67 GEN INC Hand  13506  46,,13552,12.72
4,AVTAR SINGH,M  39 GEN IND Battery  666  0,,666,0.63
,,Torch,,,
5,None of the Above,NOTA NOTA  528  0,,528,0.5
6,SHASHI PRATAP,M  49 GEN BSP Elephant  491  0,,491,0.46
7,SANJAY AGARWAL,M  45 GEN IND FLUTE  301  0,,301,0.28
8,R. SINGH CHOUDHARY,M  42 GEN IND Saw  205  0,,205,0.19
9,DR. ANIL KUMAR,M  32 GEN SASAPT Television  181  0,,181,0.17
10,GURDEEP SINGH,M  42 GEN IND Brush  118  0,,118,0.11
11,DR. KAILASH SHANKER,M  65 GEN IND Stethosco  63  0,,63,0.06
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
TURNOUT,,TOTAL:  106255  289,,106544,64.84
Constituency,52. TUGHLAKABAD,TOTAL ELECTORS :,,155327,
1 SAHI RAM,,M  53 GEN AAAP Broom  64215  96,,64311,62.4
2 VIKRAM BIDHURI,,M  38 GEN BJP Lotus  30509  101,,30610,29.7
3 SACHIN,,M  30 GEN INC Hand  4248  21,,4269,4.14
4 GIRRAJ SINGH,,M  54 SC BSP Elephant  2008  7,,2015,1.96
5 MANOJ KUMAR RAY,,M  31 GEN IND Chappals  548  1,,549,0.53
6 None of the Above,,NOTA NOTA  383  0,,383,0.37
7 ABDUL BASIT,,M  36 GEN RJD Table  236  0,,236,0.23
,,Lamp,,,
8 SACHIN KUMAR,,M  27 GEN IND Bat  223  0,,223,0.22
9 SHALINI,,F  47 GEN RBCP Battery  177  0,,177,0.17
,,Torch,,,
10 TEJPAL SINGH,,M  38 SC IND Razor  173  0,,173,0.17
11 REKHA SINGH,,F  43 GEN IND Gas  111  0,,111,0.11
,,Cylinder,,,
TURNOUT,,TOTAL:  102831  226,,103057,66.35
Constituency,53. BADARPUR,TOTAL ELECTORS :,,260887,
1 NARAYAN DUTT SHARMA,,M  42 GEN AAAP Broom  94087  155,,94242,55.31
2 RAMVIR SINGH BIDHURI,,M  62 GEN BJP Lotus  46500  159,,46659,27.38
3 RAM SINGH NETAJI,,M  59 GEN INC Hand  18875  55,,18930,11.11
4 NAR SINGH SHAH,,M  42 GEN BSP Elephant  8044  38,,8082,4.74
5 PRAKASH SINGH RAWAT,,M  27 GEN IND Battery  1088  0,,1088,0.64
,,Torch,,,
6 None of the Above,,NOTA NOTA  561  1,,562,0.33
7 PHUL KUMAR JHA,,M  38 GEN SASAPT Television  350  0,,350,0.21
8 PRAMOD KUMAR,,M  30 GEN IND Batsman  266  1,,267,0.16
9 OM PRAKASH GUPTA,,M  62 GEN IND Scissors  221  0,,221,0.13
TURNOUT,,TOTAL:  169992  409,,170401,65.32
Constituency,54. OKHLA,TOTAL ELECTORS :,,273543,
1 AMANATULLAH KHAN,,M  41 GEN AAAP Broom  104232  39,,104271,62.57
2 BRAHAM SINGH,,M  50 GEN BJP Lotus  39716  23,,39739,23.84
3 ASIF MOHD. KHAN,,M  51 GEN INC Hand  20123  12,,20135,12.08
4 ANZARUL HAQUE,,M  44 GEN INL Battery  853  0,,853,0.51
,,Torch,,,
5 ASHRAF KAMAL,,M  33 GEN BSP Elephant  695  1,,696,0.42
6 None of the Above,,NOTA NOTA  518  1,,519,0.31
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
7,MOHD. ASLAM,M  43 GEN IND Pen Nib  153  0,,153,0.09
,,with,,,
,,Seven,,,
,,Rays,,,
8,BURHANUDDIN,M  54 GEN IND Gas Stove  102  0,,102,0.06
9,HUMA KAUSAR,F  44 GEN IND Hat  98  0,,98,0.06
10,MOHD. NIZAMUDDIN,M  46 GEN SASAPT Television  92  0,,92,0.06
TURNOUT,,TOTAL:  166582  76,,166658,60.93
Constituency,55. TRILOKPURI  (SC),TOTAL ELECTORS :,,178214,
1,RAJU DHINGAN,M  41 SC AAAP Broom  74815  92,,74907,58.62
2,KIRAN VAIDYA,F  40 SC BJP Lotus  45001  152,,45153,35.34
3,BRAHM PAL,M  68 SC INC Hand  4129  20,,4149,3.25
4,DR.GIRISH,M  30 SC BSP Elephant  2199  18,,2217,1.74
5,None of the Above,NOTA NOTA  464  3,,467,0.37
6,KHUBI RAM,M  44 SC CPI Ears of  380  0,,380,0.3
,,Corn And,,,
,,Sickle,,,
7,PADAM CHAND,M  62 SC BMUP Cot  271  0,,271,0.21
8,RAKESH,M  40 SC GAAP Plate  132  2,,134,0.1
,,Containing,,,
,,Food,,,
9,MAHINDER SINGH,M  74 SC SASAPT Television  100  0,,100,0.08
TURNOUT,,TOTAL:  127491  287,,127778,71.7
Constituency,56. KONDLI  (SC),TOTAL ELECTORS :,,177791,
1,MANOJ KUMAR,M  35 SC AAAP Broom  63044  141,,63185,50.66
2,HUKAM SINGH,M  60 SC BJP Lotus  38233  193,,38426,30.81
3,AMRISH SINGH GAUTAM,M  58 SC INC Hand  13486  76,,13562,10.87
4,CHAMAN KUMAR,M  39 SC BSP Elephant  8394  139,,8533,6.84
5,None of the Above,NOTA NOTA  453  5,,458,0.37
6,MALA DEVI,F  42 SC CPI(ML) Cup &  230  0,,230,0.18
,,(L) Saucer,,,
7,RAKESH,M  28 SC IND Tent  193  0,,193,0.15
8,SUNIL BABU,M  41 SC IND Grapes  132  0,,132,0.11
TURNOUT,,TOTAL:  124165  554,,124719,70.15
Constituency,57. PATPARGANJ,TOTAL ELECTORS :,,214368,
1,MANISH SISODIA,M  42 GEN AAAP Broom  75009  234,,75243,53.64
2,VINOD KUMAR BINNY,M  41 GEN BJP Lotus  46188  264,,46452,33.12
3,ANIL KUMAR,M  38 GEN INC Hand  16094  83,,16177,11.53
4,NEM SINGH PREMI,M  45 SC BSP Elephant  1169  22,,1191,0.85
5,None of the Above,NOTA NOTA  527  3,,530,0.38
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
6,CHHAVI PRAKASH GUPTA,M  42 GEN SHS Bow &  292  1,,293,0.21
,,Arrow,,,
7,MAHESH PRAKASH,M  47 GEN SASAPT Television  282  1,,283,0.2
8,BHUPENDRA KUMAR RAI,M  36 GEN IND Auto-  98  0,,98,0.07
,,Rickshaw,,,
TURNOUT,,TOTAL:  139659  608,,140267,65.43
Constituency,58. LAXMI NAGAR,TOTAL ELECTORS :,,203726,
1,NITIN TYAGI,M  41 GEN AAAP Broom  58075  154,,58229,42.55
2,B. B. TYAGI,M  56 GEN BJP Lotus  53107  276,,53383,39.01
3,DR. ASHOK KUMAR WALIA,M  66 GEN INC Hand  23504  123,,23627,17.27
4,KAVITA NARAIN,F  45 GEN BSP Elephant  671  16,,687,0.5
5,None of the Above,NOTA NOTA  419  1,,420,0.31
6,VIMAL KUMAR SAXENA,M  55 GEN IND Battery  269  1,,270,0.2
,,Torch,,,
7,SARVENDRA SINGH PAL,M  41 GEN NCP Clock  164  1,,165,0.12
8,ZAHEER ABBASI,M  29 GEN RPI Sewing  68  0,,68,0.05
,,Machine,,,
TURNOUT,,TOTAL:  136277  572,,136849,67.17
Constituency,59. VISHWAS NAGAR,TOTAL ELECTORS :,,186871,
1,OM PRAKASH SHARMA,M  61 GEN BJP Lotus  57920  204,,58124,45.16
2,DR. ATUL GUPTA,M  56 GEN AAAP Broom  47839  127,,47966,37.26
3,NASEEB SINGH,M  48 GEN INC Hand  20581  53,,20634,16.03
4,GIRISH CHOUDHARY,M  50 GEN BSP Elephant  846  8,,854,0.66
5,None of the Above,NOTA NOTA  499  0,,499,0.39
6,JAGDISH,M  34 SC GARPA Black  270  0,,270,0.21
,,Board,,,
7,SHOKAT ALI,M  65 GEN HCP Candles  140  0,,140,0.11
8,VIJAY KUMAR JHA,M  38 GEN SASAPT Television  138  0,,138,0.11
9,PRAVEEN KUMAR BHARAT,M  34 SC BJM Sewing  95  0,,95,0.07
,,Machine,,,
TURNOUT,,TOTAL:  128328  392,,128720,68.88
Constituency,60. KRISHNA NAGAR,TOTAL ELECTORS :,,190152,
1,"S K BAGGA, ADVOCATE",M  60 GEN AAAP Broom  65773  146,,65919,47.99
2,KIRAN BEDI,F  65 GEN BJP Lotus  63297  345,,63642,46.33
3,BANSI LAL,M  60 GEN INC Hand  6156  33,,6189,4.51
4,YOGESH KUMAR,M  34 GEN BSP Elephant  497  4,,501,0.36
5,None of the Above,NOTA NOTA  355  3,,358,0.26
6,CHANDAN LAL PREMI,M  76 SC CPI Ears of  338  1,,339,0.25
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
7,PURNIMA JOHN,F  33 GEN SPP Bat  169  0,,169,0.12
8,VIRENDR PRADHAN,M  36 GEN IND Gas  90  0,,90,0.07
,,Cylinder,,,
9,SAHRUR,F  39 GEN HCP Candles  70  3,,73,0.05
10,ADVOCATE MANJEET,M  27 GEN IND Gas Stove  53  0,,53,0.04
,SINGH,,,,
11,JAGBIR SINGH,M  32 GEN RAJP Table  32  0,,32,0.02
TURNOUT,,TOTAL:  136830  535,,137365,72.24
Constituency,61. GANDHI NAGAR,TOTAL ELECTORS :,,168799,
1,ANIL KUMAR BAJPAI,M  57 GEN AAAP Broom  50880  66,,50946,45.24
2,JITENDER,M  39 GEN BJP Lotus  43352  112,,43464,38.6
3,SURENDER PRAKASH,M  59 GEN INC Hand  16216  12,,16228,14.41
,SHARMA,,,,
4,MD. HAROON,M  48 GEN IND Battery  660  0,,660,0.59
,,Torch,,,
5,None of the Above,NOTA NOTA  488  4,,492,0.44
6,DHARMENDR KUMAR,M  36 SC BSP Elephant  453  3,,456,0.4
7,VIJAY SINGH,M  41 GEN SHS Bow &  165  0,,165,0.15
,,Arrow,,,
8,SHAINA,F  30 GEN IND Sewing  80  0,,80,0.07
,,Machine,,,
9,JABBAR ALI,M  34 GEN IND Auto-  65  0,,65,0.06
,,Rickshaw,,,
10,RAJESH KUMAR,M  34 SC IND Brief Case  47  0,,47,0.04
TURNOUT,,TOTAL:  112406  197,,112603,66.71
Constituency,62. SHAHDARA,TOTAL ELECTORS :,,169959,
1,RAM NIWAS GOEL,M  66 GEN AAAP Broom  58372  151,,58523,49.49
2,JITENDER SINGH SHUNTY,M  52 GEN BJP Lotus  46537  255,,46792,39.57
3,NARENDER NATH,M  71 GEN INC Hand  9360  63,,9423,7.97
4,BEHEN PREETI,F  55 GEN IND Pressure  1272  17,,1289,1.09
,,Cooker,,,
5,RAJPAL SINGH,M  54 GEN BSP Elephant  1257  19,,1276,1.08
6,None of the Above,NOTA NOTA  358  10,,368,0.31
7,HARPAL SINGH KUNDALIYA,M  62 GEN GARPA Black  233  2,,235,0.2
,,Board,,,
8,MANISH GUPTA,M  41 GEN IND Battery  167  0,,167,0.14
,,Torch,,,
9,PREETI,F  34 GEN IND Sewing  85  1,,86,0.07
,,Machine,,,
10,PREETI,F  27 GEN IND Gas Stove  54  2,,56,0.05
11,ACHAL SHARMA,M  28 GEN IND Gas  41  0,,41,0.03
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
TURNOUT,,TOTAL:  117736  520,,118256,69.58
Constituency,63. SEEMA PURI  (SC),TOTAL ELECTORS :,,172790,
1 RAJENDRA PAL GAUTAM,,M  46 SC AAAP Broom  79584  193,,79777,63.04
2 KARAMVIR,,M  44 SC BJP Lotus  30672  284,,30956,24.46
3 VEER SINGH DHINGAN,,M  60 SC INC Hand  10608  66,,10674,8.44
4 JAI SHREE,,F  31 SC BSP Elephant  4028  75,,4103,3.24
5 None of the Above,,NOTA NOTA  492  7,,499,0.39
6 AARTI,,F  26 SC GARPA Black  303  1,,304,0.24
,,Board,,,
7 RAVINDER KUMAR,,M  43 SC IND Plate  228  0,,228,0.18
,,Containing,,,
,,Food,,,
TURNOUT,,TOTAL:  125915  626,,126541,73.23
Constituency,64. ROHTAS NAGAR,TOTAL ELECTORS :,,191586,
1 SARITA SINGH,,F  28 GEN AAAP Broom  61905  304,,62209,45.96
2 JITENDER MAHAJAN,,M  45 GEN BJP Lotus  53579  756,,54335,40.14
3 VIPIN SHARMA,,M  37 GEN INC Hand  15396  152,,15548,11.49
4 PRAVEEN BANSAL,,M  34 GEN BSP Elephant  2034  81,,2115,1.56
5 None of the Above,,NOTA NOTA  404  5,,409,0.3
6 ATUL KUMAR,,M  33 SC GARPA Black  243  0,,243,0.18
,,Board,,,
7 RAISUDDIN,,M  47 GEN IND Battery  191  0,,191,0.14
,,Torch,,,
8 PAWAN KUMAR,,M  38 SC JKNPP Bicycle  86  1,,87,0.06
9 RAJENDRA KUMAR,,M  41 GEN RBCP Iron  81  4,,85,0.06
10 NARESH KUMAR,,M  32 GEN IND BUCKET  65  2,,67,0.05
11 RAJEEV SOHI,,M  48 GEN SHS Bow &  65  0,,65,0.05
,,Arrow,,,
TURNOUT,,TOTAL:  134049  1305,,135354,70.65
Constituency,65. SEELAMPUR,TOTAL ELECTORS :,,155741,
1 MOHD. ISHRAQUE,,M  54 GEN AAAP Broom  57221  81,,57302,51.26
2 SANJAY JAIN,,M  40 GEN BJP Lotus  29172  243,,29415,26.31
3 CHAUDHARY MATEEN,,M  56 GEN INC Hand  23702  89,,23791,21.28
AHMAD,,,,,
4 SANDEEP CHODHARY,,M  25 GEN BSP Elephant  610  19,,629,0.56
5 None of the Above,,NOTA NOTA  329  0,,329,0.29
6 MANOJ KUMAR,,M  33 GEN IND Battery  144  2,,146,0.13
,,Torch,,,
7 SARFARAJ,,M  42 GEN IND Sewing  114  0,,114,0.1
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
8,AKBAR MALIK,M  28 GEN IND Bat  71  0,,71,0.06
TURNOUT,,TOTAL:  111363  434,,111797,71.78
Constituency,66. GHONDA,TOTAL ELECTORS :,,202799,
1,SHRI DUTT SHARMA,M  54 GEN AAAP Broom  60686  220,,60906,44.96
2,SAHAB SINGH CHAUHAN,M  65 GEN BJP Lotus  52289  524,,52813,38.98
3,BHISHAM SHARMA,M  54 GEN INC Hand  18804  88,,18892,13.95
4,RANJEET SINGH,M  44 GEN BSP Elephant  1298  16,,1314,0.97
,CHAUDHARY,,,,
5,ALTAF HUSAIN,M  41 GEN JD(U) Arrow  770  0,,770,0.57
6,None of the Above,NOTA NOTA  493  7,,500,0.37
7,RAJIV KUMAR,M  47 GEN SASAPT Television  150  0,,150,0.11
8,NAVEEN TIWARI,M  32 GEN SHS Bow &  129  0,,129,0.1
,,Arrow,,,
TURNOUT,,TOTAL:  134619  855,,135474,66.8
Constituency,67. BABARPUR,TOTAL ELECTORS :,,192358,
1,GOPAL RAI,M  39 GEN AAAP Broom  75928  251,,76179,59.14
2,NARESH GAUR,M  63 GEN BJP Lotus  40440  468,,40908,31.76
3,ZAKIR KHAN,M  42 GEN INC Hand  9916  36,,9952,7.73
4,MOHD ABDUL HAQ,M  31 GEN BSP Elephant  754  11,,765,0.59
5,None of the Above,NOTA NOTA  284  6,,290,0.23
6,MOHD SHAHIN,M  32 GEN IND Scissors  149  0,,149,0.12
7,ANIL KUMAR SHARMA,M  44 GEN RBCP Sewing  141  1,,142,0.11
,,Machine,,,
8,KESAR,F  35 GEN PECP Battery  96  0,,96,0.07
,,Torch,,,
9,PRADEEP JAIN,M  45 GEN IND Diesel  87  2,,89,0.07
,,Pump,,,
10,ARUN THAKUR,M  39 GEN SPP Bat  62  0,,62,0.05
11,NADEEM AHMAD,M  39 GEN IND Ring  52  0,,52,0.04
12,"MOHD, NAZIR",M  41 GEN AASAP Auto-  48  3,,51,0.04
,,Rickshaw,,,
13,MOHD ARIF,M  63 GEN IND Candles  43  1,,44,0.03
14,FAZUL RAHMAN,M  44 GEN IND Batsman  43  0,,43,0.03
TURNOUT,,TOTAL:  128043  779,,128822,66.97
Constituency,68. GOKALPUR  (SC),TOTAL ELECTORS :,,197112,
1,FATEH SINGH,M  51 SC AAAP Broom  70985  255,,71240,48.71
2,RANJEET SINGH,M  43 SC BJP Lotus  38638  634,,39272,26.85
3,SURENDRA KUMAR,M  47 SC BSP Elephant  29503  577,,30080,20.57
4,KU. RINKU,F  40 SC INC Hand  3316  28,,3344,2.29
,,DETAILED RESULTS,,,
,,VALID VOTES POLLED,,,
,,,,,% VOTES
,CANDIDATE NAME,SEX AGE CATEGORY PARTY SYMBOL GENERAL POSTAL,,TOTAL,POLLED
5,MANGE RAM,M  66 SC BASAPA Battery  1241  0,,1241,0.85
,,Torch,,,
6,None of the Above,NOTA NOTA  525  1,,526,0.36
7,MANOJ KUMAR,M  28 SC GARPA Black  384  0,,384,0.26
,,Board,,,
8,VEER PAL SINGH,M  44 SC IND Almirah  152  1,,153,0.1
TURNOUT,,TOTAL:  144744  1496,,146240,74.19
Constituency,69. MUSTAFABAD,TOTAL ELECTORS :,,233445,
1,JAGDISH PRADHAN,M  61 GEN BJP Lotus  58021  367,,58388,35.33
2,HASAN AHMED,M  62 GEN INC Hand  52305  52,,52357,31.68
3,MOHD YUNUS,M  50 GEN AAAP Broom  49723  68,,49791,30.13
4,NEERU CHAUDHARY,F  38 GEN BSP Elephant  2851  42,,2893,1.75
5,None of the Above,NOTA NOTA  584  3,,587,0.36
6,ALI ABBAS,M  35 GEN HCP Candles  418  0,,418,0.25
7,SHER KHA MALIK,M  48 GEN IND Battery  399  0,,399,0.24
,,Torch,,,
8,JAI SINGH CHAUDHARY,M  32 GEN IND Gas  169  0,,169,0.1
,,Cylinder,,,
9,SARFUDDIN,M  33 GEN GAAP Plate  138  0,,138,0.08
,,Containing,,,
,,Food,,,
10,KALI CHARAN,M  51 GEN IND Balloon  129  0,,129,0.08
TURNOUT,,TOTAL:  164737  532,,165269,70.8
Constituency,70. KARAWAL NAGAR,TOTAL ELECTORS :,,243774,
1,KAPIL MISHRA,M  34 GEN AAAP Broom  101703  162,,101865,59.85
2,MOHAN SINGH BISHT,M  57 GEN BJP Lotus  56966  468,,57434,33.74
3,SATAN PAL DAYMA,M  51 GEN INC Hand  5336  26,,5362,3.15
4,DHARMENDRA SINGH,M  45 GEN BSP Elephant  2180  22,,2202,1.29
5,None of the Above,NOTA NOTA  886  2,,888,0.52
6,RANJIT TIWARI,"M  43 GEN CPM Hammer,  711  1",,712,0.42
,,Sickle and,,,
,,Star,,,
7,SUNDER SINGH DEDHA,M  48 GEN IND Battery  695  1,,696,0.41
,,Torch,,,
8,DHARM DASS,M  59 GEN RBHP Bat  279  0,,279,0.16
9,JOGINDER SINGH,M  38 GEN IND Pressure  211  0,,211,0.12
,,Cooker,,,
10,SHYAM PAL SINGH,M  47 GEN NAPT Sewing  150  1,,151,0.09
,,Machine,,,
11,SARYUG NARYAN,M  54 GEN SASAPT Television  143  3,,146,0.09
12,ANIL KUMAR,M  43 GEN ASSP Table  143  1,,144,0.08
13,PRAHLAD KUMAR GUPTA,M  40 GEN HND Coconut  115  0,,115,0.07
